,mean
1250,5900.333333333333
1251,3935.9117647058824
1252,6197.787234042553
1253,4052.1666666666665
1254,6263.0
1255,7872.071428571428
1256,3487.0886075949365
1257,5266.758620689655
1258,5125.257142857143
1259,4038.132075471698
1260,4435.428571428572
1261,3695.920353982301
1262,5720.275
1263,5537.923076923077
1264,4004.2093023255816
1265,4863.544444444445
1266,6851.580645161291
1267,3667.078431372549
1268,4418.213675213675
1269,4767.111111111111
1270,4302.771428571428
1271,5417.297872340426
1272,3501.3082191780823
1273,3948.094017094017
1274,4633.1578947368425
1275,4487.081395348837
1276,5763.571428571428
1277,3876.310344827586
1278,6433.571428571428
1279,4148.1612903225805
1280,6425.0
1281,6525.142857142857
1282,3489.3571428571427
1283,5411.53125
1284,5240.454545454545
1285,4030.75
1286,4068.054054054054
1287,3704.105769230769
1288,5290.333333333333
1289,5748.5
1290,3928.1428571428573
1291,4843.13698630137
1292,6353.444444444444
1293,3633.2162162162163
1294,4357.351351351352
1295,4827.227272727273
1296,4560.159420289855
1297,5297.326086956522
1298,3587.8198198198197
1299,3867.011111111111
1300,4469.962962962963
1301,4371.3536585365855
1302,5693.105263157895
1303,3850.0746268656717
1304,6148.913978494624
1305,4167.215384615384
1306,6537.428571428572
1307,6864.4375
1308,3419.1447368421054
1309,5054.775
1310,5016.186046511628
1311,4091.25
1312,4301.916666666667
1313,3695.035714285714
1314,5668.6875
1315,5854.25
1316,3944.3023255813955
1317,5000.232558139535
1318,6759.6578947368425
1319,3711.0882352941176
1320,4510.451327433629
1321,4753.1578947368425
1322,4532.413043478261
1323,5421.824561403509
1324,3595.9136690647483
1325,3893.3846153846152
1326,4401.788888888889
1327,4445.40206185567
1328,5963.90625
1329,3888.3
1330,6206.0722891566265
1331,4241.96875
1332,6410.666666666667
1333,7592.0625
1334,3457.1
1335,4922.764705882353
1336,4974.479166666667
1337,4136.644736842105
1338,4232.1
1339,3701.8968253968255
1340,5650.2830188679245
1341,5881.4
1342,3924.6530612244896
1343,4830.629310344828
1344,6243.893617021276
1345,3698.109375
1346,4486.688888888889
1347,4865.3
1348,4448.305970149254
1349,5136.0
1350,3481.5496688741723
1351,3967.365671641791
1352,4645.530120481928
1353,4327.564356435643
1354,5743.071428571428
1355,3833.4505494505493
1356,6204.121951219512
1357,4172.941176470588
1358,6431.4
1359,7101.111111111111
1360,3432.8333333333335
1361,4981.68085106383
1362,4982.0
1363,4204.173076923077
1364,4031.4523809523807
1365,3735.906976744186
1366,5608.690909090909
1367,5678.785714285715
1368,3909.3137254901962
1369,4848.431192660551
1370,6531.558823529412
1371,3775.75
1372,4462.194444444444
1373,4702.064516129032
1374,4484.098360655737
1375,5290.120689655172
1376,3566.4736842105262
1377,3903.205479452055
1378,4217.923076923077
1379,4388.4795918367345
1380,5724.054054054054
1381,3766.120879120879
1382,6462.693548387097
1383,4219.887096774193
1384,6236.0
1385,7281.444444444444
1386,3439.3972602739727
1387,5139.882352941177
1388,4861.428571428572
1389,4209.363636363636
1390,4113.946428571428
1391,3756.7305389221556
1392,5835.537037037037
1393,5797.625
1394,4076.55
1395,4784.8190476190475
1396,6687.865384615385
1397,3768.677966101695
1398,4549.114457831325
1399,4831.470588235294
