,month,town,resale_price
5973,2017-05-01,ANG MO KIO,690000
5974,2017-05-01,ANG MO KIO,735000
5975,2017-05-01,ANG MO KIO,760000
5976,2017-05-01,ANG MO KIO,768000
5977,2017-05-01,ANG MO KIO,780000
5978,2017-05-01,ANG MO KIO,470000
5979,2017-05-01,ANG MO KIO,560000
5980,2017-05-01,ANG MO KIO,562000
5981,2017-05-01,ANG MO KIO,613000
5982,2017-05-01,ANG MO KIO,620000
5983,2017-05-01,ANG MO KIO,625000
5984,2017-05-01,ANG MO KIO,682000
5985,2017-05-01,ANG MO KIO,720000
5986,2017-05-01,ANG MO KIO,760000
5987,2017-05-01,ANG MO KIO,768000
5988,2017-05-01,ANG MO KIO,773000
5989,2017-05-01,ANG MO KIO,788000
5990,2017-05-01,ANG MO KIO,800000
5991,2017-05-01,ANG MO KIO,838888
5992,2017-05-01,ANG MO KIO,850000
5993,2017-05-01,ANG MO KIO,855000
7839,2017-06-01,ANG MO KIO,233000
7840,2017-06-01,ANG MO KIO,250000
7841,2017-06-01,ANG MO KIO,235000
7842,2017-06-01,ANG MO KIO,260000
7843,2017-06-01,ANG MO KIO,260000
7844,2017-06-01,ANG MO KIO,265000
7845,2017-06-01,ANG MO KIO,268000
7846,2017-06-01,ANG MO KIO,270000
7847,2017-06-01,ANG MO KIO,275000
7848,2017-06-01,ANG MO KIO,275000
7849,2017-06-01,ANG MO KIO,276888
7850,2017-06-01,ANG MO KIO,279000
7851,2017-06-01,ANG MO KIO,280000
7852,2017-06-01,ANG MO KIO,280000
7853,2017-06-01,ANG MO KIO,285000
7854,2017-06-01,ANG MO KIO,289000
7855,2017-06-01,ANG MO KIO,290000
7856,2017-06-01,ANG MO KIO,293000
7857,2017-06-01,ANG MO KIO,295000
7858,2017-06-01,ANG MO KIO,298000
7859,2017-06-01,ANG MO KIO,300000
7860,2017-06-01,ANG MO KIO,300000
7861,2017-06-01,ANG MO KIO,300000
7862,2017-06-01,ANG MO KIO,305000
7863,2017-06-01,ANG MO KIO,308000
7864,2017-06-01,ANG MO KIO,309000
7865,2017-06-01,ANG MO KIO,310000
7866,2017-06-01,ANG MO KIO,316000
7867,2017-06-01,ANG MO KIO,316888
7868,2017-06-01,ANG MO KIO,320000
7869,2017-06-01,ANG MO KIO,325000
7870,2017-06-01,ANG MO KIO,325000
7871,2017-06-01,ANG MO KIO,330000
7872,2017-06-01,ANG MO KIO,330000
7873,2017-06-01,ANG MO KIO,333000
7874,2017-06-01,ANG MO KIO,338000
7875,2017-06-01,ANG MO KIO,340000
7876,2017-06-01,ANG MO KIO,342000
7877,2017-06-01,ANG MO KIO,345000
7878,2017-06-01,ANG MO KIO,348000
7879,2017-06-01,ANG MO KIO,350000
7880,2017-06-01,ANG MO KIO,358000
7881,2017-06-01,ANG MO KIO,360000
7882,2017-06-01,ANG MO KIO,362000
7883,2017-06-01,ANG MO KIO,362000
7884,2017-06-01,ANG MO KIO,365000
7885,2017-06-01,ANG MO KIO,368000
7886,2017-06-01,ANG MO KIO,370000
7887,2017-06-01,ANG MO KIO,370000
7888,2017-06-01,ANG MO KIO,383000
7889,2017-06-01,ANG MO KIO,388000
7890,2017-06-01,ANG MO KIO,397000
7891,2017-06-01,ANG MO KIO,423000
7892,2017-06-01,ANG MO KIO,430000
7893,2017-06-01,ANG MO KIO,430000
7894,2017-06-01,ANG MO KIO,435000
7895,2017-06-01,ANG MO KIO,440000
7896,2017-06-01,ANG MO KIO,443888
7897,2017-06-01,ANG MO KIO,458000
7898,2017-06-01,ANG MO KIO,468000
7899,2017-06-01,ANG MO KIO,470000
7900,2017-06-01,ANG MO KIO,470088
7901,2017-06-01,ANG MO KIO,478000
7902,2017-06-01,ANG MO KIO,488000
7903,2017-06-01,ANG MO KIO,515000
7904,2017-06-01,ANG MO KIO,520000
7905,2017-06-01,ANG MO KIO,523800
7906,2017-06-01,ANG MO KIO,543000
7907,2017-06-01,ANG MO KIO,560000
7908,2017-06-01,ANG MO KIO,570888
7909,2017-06-01,ANG MO KIO,625000
7910,2017-06-01,ANG MO KIO,630000
7911,2017-06-01,ANG MO KIO,688000
7912,2017-06-01,ANG MO KIO,468000
7913,2017-06-01,ANG MO KIO,470000
7914,2017-06-01,ANG MO KIO,530000
7915,2017-06-01,ANG MO KIO,570000
7916,2017-06-01,ANG MO KIO,612888
7917,2017-06-01,ANG MO KIO,615000
7918,2017-06-01,ANG MO KIO,628000
7919,2017-06-01,ANG MO KIO,628000
7920,2017-06-01,ANG MO KIO,636000
7921,2017-06-01,ANG MO KIO,648000
7922,2017-06-01,ANG MO KIO,653000
7923,2017-06-01,ANG MO KIO,660000
7924,2017-06-01,ANG MO KIO,675000
7925,2017-06-01,ANG MO KIO,690000
7926,2017-06-01,ANG MO KIO,735000
7927,2017-06-01,ANG MO KIO,780000
7928,2017-06-01,ANG MO KIO,788000
7929,2017-06-01,ANG MO KIO,800000
7930,2017-06-01,ANG MO KIO,800000
7931,2017-06-01,ANG MO KIO,823888
7932,2017-06-01,ANG MO KIO,830000
7933,2017-06-01,ANG MO KIO,850000
7934,2017-06-01,ANG MO KIO,860000
7935,2017-06-01,ANG MO KIO,750000
9543,2017-07-01,ANG MO KIO,215000
9544,2017-07-01,ANG MO KIO,249000
9545,2017-07-01,ANG MO KIO,250000
9546,2017-07-01,ANG MO KIO,258000
9547,2017-07-01,ANG MO KIO,260000
9548,2017-07-01,ANG MO KIO,266000
9549,2017-07-01,ANG MO KIO,268000
9550,2017-07-01,ANG MO KIO,268000
9551,2017-07-01,ANG MO KIO,270000
9552,2017-07-01,ANG MO KIO,270000
9553,2017-07-01,ANG MO KIO,273000
9554,2017-07-01,ANG MO KIO,278000
9555,2017-07-01,ANG MO KIO,278000
9556,2017-07-01,ANG MO KIO,285000
9557,2017-07-01,ANG MO KIO,289000
9558,2017-07-01,ANG MO KIO,290000
9559,2017-07-01,ANG MO KIO,290000
9560,2017-07-01,ANG MO KIO,295000
9561,2017-07-01,ANG MO KIO,300000
9562,2017-07-01,ANG MO KIO,303000
9563,2017-07-01,ANG MO KIO,305000
9564,2017-07-01,ANG MO KIO,305000
9565,2017-07-01,ANG MO KIO,308000
9566,2017-07-01,ANG MO KIO,308000
9567,2017-07-01,ANG MO KIO,308000
9568,2017-07-01,ANG MO KIO,310000
9569,2017-07-01,ANG MO KIO,310000
9570,2017-07-01,ANG MO KIO,310000
9571,2017-07-01,ANG MO KIO,311000
9572,2017-07-01,ANG MO KIO,313000
9573,2017-07-01,ANG MO KIO,315000
9574,2017-07-01,ANG MO KIO,316000
9575,2017-07-01,ANG MO KIO,320000
9576,2017-07-01,ANG MO KIO,322800
9577,2017-07-01,ANG MO KIO,325000
9578,2017-07-01,ANG MO KIO,328000
9579,2017-07-01,ANG MO KIO,340000
9580,2017-07-01,ANG MO KIO,340000
9581,2017-07-01,ANG MO KIO,350000
9582,2017-07-01,ANG MO KIO,360000
